dteday,hr,weathersit,hum,windspeed,temp,atemp,cnt
2011-01-01,0,clear,0.81,0.0,3.2799999999999994,3.0014000000000003,16
2011-01-01,1,clear,0.8,0.0,2.34,1.9982000000000006,40
2011-01-01,2,clear,0.8,0.0,2.34,1.9982000000000006,32
2011-01-01,3,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,13
2011-01-01,4,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,1
2011-01-01,5,cloudy,0.75,6.0032,3.2799999999999994,1.0015999999999998,1
2011-01-01,6,clear,0.8,0.0,2.34,1.9982000000000006,2
2011-01-01,7,clear,0.86,0.0,1.4000000000000004,1.0015999999999998,3
2011-01-01,8,clear,0.75,0.0,3.2799999999999994,3.0014000000000003,8
2011-01-01,9,clear,0.76,0.0,7.040000000000001,7.000999999999998,14
2011-01-01,10,clear,0.76,16.997899999999998,9.86,9.997399999999999,36
2011-01-01,11,clear,0.81,19.0012,8.919999999999998,5.997799999999998,56
2011-01-01,12,clear,0.77,19.0012,11.739999999999998,11.997200000000003,84
2011-01-01,13,cloudy,0.72,19.999499999999998,13.620000000000001,13.997,94
2011-01-01,14,cloudy,0.72,19.0012,13.620000000000001,13.997,106
2011-01-01,15,cloudy,0.77,19.999499999999998,12.68,13.000399999999999,110
2011-01-01,16,cloudy,0.82,19.999499999999998,11.739999999999998,11.997200000000003,93
2011-01-01,17,cloudy,0.82,19.0012,12.68,13.000399999999999,67
2011-01-01,18,snowy,0.88,16.997899999999998,11.739999999999998,11.997200000000003,35
2011-01-01,19,snowy,0.88,16.997899999999998,11.739999999999998,11.997200000000003,37
2011-01-01,20,cloudy,0.87,16.997899999999998,10.8,11.000600000000002,36
2011-01-01,21,cloudy,0.87,12.998,10.8,11.000600000000002,34
2011-01-01,22,cloudy,0.94,15.001299999999999,10.8,11.000600000000002,28
2011-01-01,23,cloudy,0.88,19.999499999999998,13.620000000000001,13.997,39
2011-01-02,0,cloudy,0.88,19.999499999999998,13.620000000000001,13.997,17
2011-01-02,1,cloudy,0.94,16.997899999999998,12.68,13.000399999999999,17
2011-01-02,2,cloudy,1.0,19.0012,11.739999999999998,11.997200000000003,9
2011-01-02,3,cloudy,0.94,12.998,13.620000000000001,13.997,6
2011-01-02,4,cloudy,0.94,12.998,13.620000000000001,13.997,3
2011-01-02,6,snowy,0.77,19.999499999999998,11.739999999999998,11.997200000000003,2
2011-01-02,7,cloudy,0.76,12.998,10.8,11.000600000000002,1
2011-01-02,8,snowy,0.71,15.001299999999999,10.8,11.000600000000002,8
2011-01-02,9,cloudy,0.76,15.001299999999999,9.86,9.997399999999999,20
2011-01-02,10,cloudy,0.81,15.001299999999999,8.919999999999998,7.000999999999998,53
2011-01-02,11,cloudy,0.71,16.997899999999998,8.919999999999998,5.997799999999998,70
2011-01-02,12,cloudy,0.66,19.999499999999998,8.919999999999998,5.997799999999998,93
2011-01-02,13,cloudy,0.66,8.9981,8.919999999999998,7.000999999999998,75
